province,rptn,rptm,corpId,corpName,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C9_avg,C10_avg,C11_avg
北京市,2015,12,6975,北京中财典当有限责任公司, 0.009347499,-0.066944628,-0.071747754, 0.523602033, 0.0,-0.072424745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,66538,北京晟源典当行有限责任公司, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,3918,中兆源（北京）典当有限公司, 0.012628226, 0.012290301, 0.012337814,-0.642547033, 1.014, 0.009374081, 0.0, 0.0, 0.0, 0.493096647, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,33706,北京润龙典当行有限公司, 0.014035088, 0.007067138, 0.003508772,-1.057971014, 2.72, 0.003508772, 0.533333333, 0.0, 0.0, 1.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,82288,北京亿宏达典当行有限公司, 0.003982477, 0.001395813, 0.000398248, 0.6, 0.0, 0.000319872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,81797,北京天阳鑫辰典当有限责任公司, 0.001787488, 0.0, 0.005362463, 0.0, 0.9984, 0.003996004, 0.0, 0.0, 0.0, 0.412459936, 0.559259259, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,50227,北京安诚仪典当有限责任公司, 0.001845667,-0.004588137, 0.009638484,-0.300567108, 3.35, 0.007239713, 0.0, 0.0, 0.0, 0.701492537, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,59293,北京金鼎典当有限公司, 0.071690801, 0.076631467, 0.000661702, 1.04095, 3.835018288, 0.000509374, 0.817077399, 0.0, 0.052326665, 0.454104745, 1.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,50208,北京宝元通典当有限公司, 0.008474287, 0.026014094, 0.035093115, 4.391143911, 0.734, 0.025174897, 0.0, 0.0, 0.0, 0.882833787, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,1270,北京三海房屋典当有限公司, 0.000377604, 0.021274317, 0.0215444,-1.725795053, 0.85, 0.021552086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,74167,北京德荣典当有限责任公司, 0.000415155, 0.000124562, 0.001087706,-0.959183673, 8.166666667, 0.000814041, 0.0, 0.0, 0.0, 0.306122449, 0.0, 0.221475809, 0.639905674, 0.624551407
