province,rptn,rptm,corpId,corpName,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C9_avg,C10_avg,C11_avg,t1,t7,t8,t9,t10,t11,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,score
安徽省,2015,12,90943,安徽春晓典当有限责任公司,2.54E-007,0,-.016844035,0,.00025,-.016844039,0,0,0,0,0,.097721032,.672849331,.726333192,3937007.87401575,1,1,10.2332116181499,1.4862168303174,1.37677860658748,-.570434446647214,-.250721647388701,.377637317348875,.25181119002533,16.2493035961884,-.0818985448995443,1.90503683529
安徽省,2015,12,524,合肥华盛典当有限责任公司,.016318169,-.01294967,.00467895,-.899303944,1.133129213,.003498909,0,0,0,.601974744,.725359469,.097721032,.672849331,.726333192,61.2813851848207,1,1,10.2332116181499,14.1094296605919,1026.98611412077,-.281140242358893,.297355272354072,-.00340654713198924,.191704514799313,.0358232558564092,12.017138021067,1.49557760854
安徽省,2015,12,74191,合肥中财典当有限公司,.038993545,.006440696,.000358386,-.951513067,4.984431138,.000279696,.104385423,.020302739,0,.465801698,.727403156,.097721032,.672849331,.726333192,25.6452702620395,.895614577,.979697261,10.2332116181499,4.82980648226005,934.610884104482,.189335115815059,-.355933508465983,.236679350474672,.0315266614566328,-.117846688208801,10.9619417682644,1.38418701963
安徽省,2015,12,632,安徽省金丰典当有限公司,.442837744,.187049866,.131009476,.195586403,7.787,.174018909,0,0,0,.37305766,.998430962,.097721032,.672849331,.726333192,2.25816343242865,1,1,10.2332116181499,3.33564970856045,3.67514956113018,3.66413154385814,-.254875820414706,.104935233145982,.131520841492555,.0724376130374423,-.133626398645672,1.07490075427
安徽省,2015,12,67453,安徽德合典当有限公司,.216642375,.379630097,.13846636,.249482999,3.784726364,.132569937,0,0,0,.71302753,.962660146,.097721032,.672849331,.726333192,4.61590212902716,1,1,10.2332116181499,24.8891195944348,4.23142592528823,3.3010902353969,.322094462714443,-.406773455081074,-.392259770500837,.522731968272934,-.101508907695875,0.982073252082
安徽省,2015,12,59623,黄山市银达典当有限公司,.044139779,-.064573937,.180030038,-.141036788,3.556626506,.141257406,0,0,0,.936201445,.796580039,.097721032,.672849331,.726333192,22.6553014685461,1,1,10.2332116181499,3.79719754214694,14.2355143712002,2.6922001589965,-.135933513654474,.120696643580808,.906356995984079,-.0680610201483072,-.106882310593417,0.900520005009
安徽省,2015,12,50090,亳州药都典当有限公司,.144002965,.074672866,.128870046,-.17057786,12.555324,.108151266,0,0,0,.730656095,.959,.097721032,.672849331,.726333192,6.94430145934842,1,1,10.2332116181499,17.2990136586784,4.29799165852656,3.33732889063223,-.70051534235063,.266147644074732,.0622437177962748,-.340627312868228,-.0604117295722529,0.870921064618
安徽省,2015,12,61847,蒙城县金元典当有限责任公司,.06228145,.162538148,.147829221,-.037110645,14.2887,.093670889,.147601476,0,0,.657582565,0,.097721032,.672849331,.726333192,16.0561451282846,.852398524,1,10.2332116181499,65.5017572156409,1.37677860658748,3.83451478504307,-.921418420000236,-.251440516555268,-.443252016686833,-.275822424613534,-.0306925369508397,0.850300225615
安徽省,2015,12,1915,安徽兴泰典当有限责任公司,.26941605,.568527349,.09009533,-.079242915,2.2943,.092489709,0,0,0,.406732627,.85984252,.097721032,.672849331,.726333192,3.71173135379277,1,1,10.2332116181499,3.75774983294547,7.49011334998256,2.73498906419907,.661262488290849,-.324582523756418,-.971826050171682,.807958646174022,-.0217711682474376,0.848681275269
安徽省,2015,12,50105,安庆国元典当有限责任公司,.540960883,.163410816,.083714424,.036675292,6.7700275,.136701176,0,0,0,.344828732,.509402455,.097721032,.672849331,.726333192,1.84856249578401,1,1,10.2332116181499,3.04858903083705,4.60976629605052,2.72289549752564,-.139087215675867,.131285645507088,.028252566281554,.0533240022701114,-.10187130629972,0.804947448438
安徽省,2015,12,16221,黄山金马典当有限公司,.023499856,.11815599,.139018088,.042217885,3,.10597151,0,0,0,1,0,.097721032,.672849331,.726333192,42.5534522424308,1,1,10.2332116181499,3.05669556799836,1.37677860658748,2.34703013968713,.133686133426236,.0139626306990078,.288228482289599,.177375046017284,-.198965445091155,0.762752917693
安徽省,2015,12,82881,安徽盐业典当有限公司,.047247898,.090499638,.13905161,1.110990336,1.306275,.109204153,.026115278,0,0,.982947695,.982127749,.097721032,.672849331,.726333192,21.1649627249026,.973884722,1,10.2332116181499,3.22478321749547,3.90938732914477,2.11846088738477,.210382480963096,-.0344352341619013,.411338450386788,.224287662851071,-.19334088798456,0.7245884484
